739

0	0.0	0.0
1	0.0	0.09
2	0.001	0.0
3	0.001	0.09
4	0.002	0.0
5	0.002	0.09
6	0.003	0.0
7	0.003	0.09
8	0.004	0.0
9	0.004	0.09
10	0.005	0.0
11	0.005	0.09
12	0.006	0.0
13	0.006	0.09
14	0.007	0.0
15	0.007	0.09
16	0.008	0.0
17	0.008	0.09
18	0.009	0.0
19	0.009	0.09
20	0.01	0.0
21	0.01	0.09
22	0.011	0.0
23	0.011	0.09
24	0.012	0.0
25	0.012	0.09
26	0.013	0.0
27	0.013	0.09
28	0.014	0.0
29	0.014	0.09
30	0.015	0.0
31	0.015	0.09
32	0.016	0.0
33	0.016	0.09
34	0.017	0.0
35	0.017	0.09
36	0.018	0.0
37	0.018	0.09
38	0.019	0.0
39	0.019	0.09
40	0.02	0.0
41	0.02	0.09
42	0.021	0.0
43	0.021	0.09
44	0.022	0.0
45	0.022	0.09
46	0.023	0.0
47	0.023	0.09
48	0.024	0.0
49	0.024	0.09
50	0.025	0.0
51	0.025	0.09
52	0.026	0.0
53	0.026	0.09
54	0.027	0.0
55	0.027	0.09
56	0.028	0.0
57	0.028	0.09
58	0.029	0.0
59	0.029	0.09
60	0.03	0.0
61	0.03	0.09
62	0.031	0.0
63	0.031	0.09
64	0.032	0.0
65	0.032	0.09
66	0.033	0.0
67	0.033	0.09
68	0.034	0.0
69	0.034	0.09
70	0.035	0.0
71	0.035	0.09
72	0.036	0.0
73	0.036	0.09
74	0.037	0.0
75	0.037	0.09
76	0.038	0.0
77	0.038	0.09
78	0.039	0.0
79	0.039	0.09
80	0.04	0.0
81	0.04	0.09
82	0.041	0.0
83	0.041	0.09
84	0.042	0.0
85	0.042	0.09
86	0.043	0.0
87	0.043	0.09
88	0.044	0.0
89	0.044	0.09
90	0.045	0.0
91	0.045	0.09
92	0.046	0.0
93	0.046	0.09
94	0.047	0.0
95	0.047	0.09
96	0.048	0.0
97	0.048	0.09
98	0.049	0.0
99	0.049	0.09
100	0.05	0.0
101	0.05	0.09
102	0.051	0.0
103	0.051	0.09
104	0.052	0.0
105	0.052	0.09
106	0.053	0.0
107	0.053	0.09
108	0.054	0.0
109	0.054	0.09
110	0.055	0.0
111	0.055	0.09
112	0.056	0.0
113	0.056	0.09
114	0.057	0.0
115	0.057	0.09
116	0.058	0.0
117	0.058	0.09
